,???,???,F1-score
??,0.6676828148529034,0.6794363880998654,0.6735083266954411
??,0.8741231339717491,0.8760907671529421,0.8751058445317246
??,0.8725747140448182,0.8362507058159232,0.8540266454563531
??,0.9315009925179417,0.8102895599043656,0.8666777164776359
??,0.7396985684839545,0.7128979934024677,0.7260510440835266
??,0.9795713453409528,0.9683716484486055,0.97393930057002
??,0.9543837061674088,0.9588588264884481,0.9566160326208719
??,0.8770251097106279,0.9492687630578025,0.9117180465634781
??,0.9139371333100206,0.9098715766671824,0.9118998236058076
??,0.7713725194295631,0.9169295164063084,0.8378764180776297
??,0.8409460882888059,0.862587172183479,0.8516291698991467
??,0.8640233023356402,0.8640233023356402,0.8640233023356403
