             precision    recall  f1-score   support

         财经       0.77      0.77      0.77     72456
         股票       0.88      0.90      0.89    108079
         教育       0.90      0.88      0.89     70945
         科技       0.91      0.84      0.87    114050
         时政       0.83      0.76      0.80     73408
         体育       0.97      0.98      0.98     92122
         游戏       0.96      0.95      0.95     73959
         娱乐       0.90      0.95      0.93     74200
         汽车       0.94      0.92      0.93     71192
         社会       0.89      0.99      0.94     81826
         军事       0.93      0.98      0.95     70632

avg / total       0.90      0.90      0.90    902869
