             precision    recall  f1-score   support

         财经       0.83      0.74      0.78     72456
         股票       0.85      0.94      0.89    108079
         教育       0.92      0.83      0.88     70945
         科技       0.85      0.87      0.86    114050
         时政       0.86      0.77      0.81     73408
         体育       0.98      0.98      0.98     92122
         游戏       0.97      0.95      0.96     73959
         娱乐       0.92      0.96      0.94     74200
         汽车       0.95      0.83      0.89     71192
         社会       0.87      0.99      0.93     81826
         军事       0.93      0.98      0.96     70632

avg / total       0.90      0.90      0.90    902869
