             precision    recall  f1-score   support

         财经       0.80      0.80      0.80     72456
         股票       0.91      0.91      0.91    108079
         教育       0.90      0.87      0.88     70945
         科技       0.93      0.85      0.89    114050
         时政       0.85      0.77      0.81     73408
         体育       0.98      0.98      0.98     92122
         游戏       0.96      0.95      0.95     73959
         娱乐       0.91      0.96      0.94     74200
         汽车       0.95      0.91      0.93     71192
         社会       0.85      0.99      0.91     81826
         军事       0.90      0.95      0.93     70632

avg / total       0.91      0.90      0.90    902869
