             precision    recall  f1-score   support

         财经       0.70      0.70      0.70    103095
         股票       0.86      0.84      0.85    153780
         教育       0.90      0.84      0.87    100945
         科技       0.76      0.85      0.80    162277
         时政       0.75      0.74      0.74    104449
         体育       0.95      0.96      0.96    131077
         游戏       0.98      0.87      0.92    105233
         娱乐       0.85      0.92      0.88    105576
         汽车       0.91      0.85      0.88    101296
         社会       0.94      0.98      0.96    116427
         军事       1.00      0.98      0.99    100498

avg / total       0.87      0.87      0.87   1284653
