             precision    recall  f1-score   support

         财经       0.64      0.17      0.26     72456
         股票       0.64      0.96      0.77    108079
         教育       0.82      0.72      0.77     70945
         科技       0.91      0.71      0.80    114050
         时政       0.82      0.65      0.73     73408
         体育       0.98      0.94      0.96     92122
         游戏       0.86      0.96      0.91     73959
         娱乐       0.89      0.91      0.90     74200
         汽车       0.82      0.95      0.88     71192
         社会       0.92      1.00      0.96     81826
         军事       0.72      1.00      0.84     70632

avg / total       0.82      0.82      0.80    902869
